time,open,high,low,close,volume,Ticker
2020-01-02 07:00:00,5.15,5.43,5.14,5.43,3283180,HSG
2020-01-03 07:00:00,5.44,5.45,5.28,5.3,3031450,HSG
2020-01-06 07:00:00,5.31,5.41,5.24,5.32,4757100,HSG
2020-01-07 07:00:00,5.32,5.39,5.26,5.26,2309430,HSG
2020-01-08 07:00:00,5.21,5.28,5.14,5.22,3644680,HSG
2020-01-09 07:00:00,5.28,5.47,5.28,5.37,4819780,HSG
2020-01-10 07:00:00,5.41,5.47,5.37,5.37,3632380,HSG
2020-01-13 07:00:00,5.4,5.47,5.26,5.27,4266560,HSG
2020-01-14 07:00:00,5.27,5.39,5.2,5.38,3581580,HSG
2020-01-15 07:00:00,5.43,5.64,5.42,5.61,9107900,HSG
2020-01-16 07:00:00,5.64,5.71,5.61,5.65,4634950,HSG
2020-01-17 07:00:00,5.65,5.72,5.51,5.6,4436910,HSG
2020-01-20 07:00:00,5.57,5.59,5.45,5.51,5054860,HSG
2020-01-21 07:00:00,5.54,5.7,5.53,5.67,4006910,HSG
2020-01-22 07:00:00,5.67,6.03,5.64,5.96,8908570,HSG
2020-01-30 07:00:00,5.84,5.89,5.67,5.75,8308440,HSG
2020-01-31 07:00:00,5.75,5.79,5.41,5.41,8590820,HSG
2020-02-03 07:00:00,5.18,5.51,5.06,5.46,8875150,HSG
2020-02-04 07:00:00,5.46,5.51,5.26,5.28,5395320,HSG
2020-02-05 07:00:00,5.31,5.36,5.29,5.33,3039680,HSG
2020-02-06 07:00:00,5.36,5.52,5.32,5.48,4428100,HSG
2020-02-07 07:00:00,5.48,5.53,5.36,5.39,4292320,HSG
2020-02-10 07:00:00,5.31,5.42,5.26,5.32,3637020,HSG
2020-02-11 07:00:00,5.41,5.41,5.2,5.2,6924170,HSG
2020-02-12 07:00:00,5.21,5.32,5.21,5.23,5242530,HSG
2020-02-13 07:00:00,5.24,5.24,5.12,5.23,5252600,HSG
2020-02-14 07:00:00,5.23,5.35,5.21,5.35,3932620,HSG
2020-02-17 07:00:00,5.38,5.44,5.36,5.4,2950580,HSG
2020-02-18 07:00:00,5.4,5.46,5.36,5.4,4793030,HSG
2020-02-19 07:00:00,5.42,5.42,5.35,5.35,2427630,HSG
2020-02-20 07:00:00,5.35,5.53,5.35,5.53,6655340,HSG
2020-02-21 07:00:00,5.57,5.61,5.41,5.42,3055490,HSG
2020-02-24 07:00:00,5.28,5.38,5.16,5.16,7166340,HSG
2020-02-25 07:00:00,5.04,5.24,5.04,5.23,3743840,HSG
2020-02-26 07:00:00,5.17,5.2,5.1,5.14,2211900,HSG
2020-02-27 07:00:00,5.18,5.2,5.12,5.18,2362340,HSG
2020-02-28 07:00:00,5.1,5.12,5.01,5.04,4996490,HSG
2020-03-02 07:00:00,5.04,5.11,5.0,5.04,1514160,HSG
2020-03-03 07:00:00,5.14,5.15,5.04,5.04,3274200,HSG
2020-03-04 07:00:00,5.04,5.14,5.02,5.11,2674520,HSG
2020-03-05 07:00:00,5.15,5.2,5.11,5.11,1994600,HSG
2020-03-06 07:00:00,5.08,5.1,5.04,5.04,1975180,HSG
2020-03-09 07:00:00,4.71,4.84,4.69,4.69,4346630,HSG
2020-03-10 07:00:00,4.45,4.76,4.43,4.67,4111980,HSG
2020-03-11 07:00:00,4.7,4.74,4.34,4.35,5312990,HSG
2020-03-12 07:00:00,4.08,4.25,4.05,4.05,8037500,HSG
2020-03-13 07:00:00,3.78,4.05,3.77,3.92,6260180,HSG
2020-03-16 07:00:00,3.87,4.18,3.87,3.98,4312470,HSG
2020-03-17 07:00:00,3.86,4.11,3.86,4.11,1989460,HSG
2020-03-18 07:00:00,4.18,4.2,4.05,4.09,3423240,HSG
2020-03-19 07:00:00,3.99,4.03,3.85,3.94,3094180,HSG
2020-03-20 07:00:00,3.94,4.01,3.84,3.86,2534240,HSG
2020-03-23 07:00:00,3.66,3.7,3.6,3.6,3586170,HSG
2020-03-24 07:00:00,3.52,3.58,3.36,3.36,5017710,HSG
2020-03-25 07:00:00,3.52,3.52,3.4,3.47,2720230,HSG
2020-03-26 07:00:00,3.44,3.45,3.25,3.25,3292760,HSG
2020-03-27 07:00:00,3.3,3.45,3.19,3.32,3222640,HSG
2020-03-30 07:00:00,3.19,3.19,3.09,3.09,4744120,HSG
2020-03-31 07:00:00,3.09,3.21,2.89,3.02,4557410,HSG
2020-04-01 07:00:00,2.99,3.23,2.99,3.23,4001500,HSG
2020-04-03 07:00:00,3.38,3.45,3.25,3.45,5102020,HSG
2020-04-06 07:00:00,3.55,3.69,3.49,3.69,6439490,HSG
2020-04-07 07:00:00,3.69,3.72,3.56,3.7,3706830,HSG
2020-04-08 07:00:00,3.56,3.78,3.56,3.78,4022510,HSG
2020-04-09 07:00:00,3.8,3.9,3.71,3.72,5434360,HSG
2020-04-10 07:00:00,3.7,3.82,3.66,3.72,4184730,HSG
2020-04-13 07:00:00,3.68,3.88,3.68,3.75,4563010,HSG
2020-04-14 07:00:00,3.82,4.01,3.82,4.01,10396410,HSG
2020-04-15 07:00:00,4.18,4.29,4.11,4.29,7468820,HSG
2020-04-16 07:00:00,4.3,4.5,4.25,4.31,5559090,HSG
2020-04-17 07:00:00,4.32,4.5,4.25,4.5,6851380,HSG
2020-04-20 07:00:00,4.65,4.66,4.42,4.45,7064950,HSG
2020-04-21 07:00:00,4.31,4.39,4.14,4.14,12149400,HSG
2020-04-22 07:00:00,4.05,4.43,4.05,4.43,5881250,HSG
2020-04-23 07:00:00,4.73,4.73,4.73,4.73,1777730,HSG
2020-04-24 07:00:00,5.06,5.06,4.91,5.06,21089490,HSG
2020-04-27 07:00:00,5.23,5.37,5.02,5.16,7720890,HSG
2020-04-28 07:00:00,5.22,5.23,5.1,5.12,5694420,HSG
2020-04-29 07:00:00,5.12,5.16,5.03,5.12,6343870,HSG
2020-05-04 07:00:00,5.13,5.47,5.07,5.26,9077090,HSG
2020-05-05 07:00:00,5.37,5.44,5.3,5.37,4557920,HSG
2020-05-06 07:00:00,5.4,5.68,5.37,5.66,9908860,HSG
2020-05-07 07:00:00,5.72,5.76,5.48,5.53,9366520,HSG
2020-05-08 07:00:00,5.52,5.65,5.44,5.44,8124060,HSG
2020-05-11 07:00:00,5.5,5.68,5.44,5.5,8415640,HSG
2020-05-12 07:00:00,5.44,5.88,5.42,5.88,13916820,HSG
2020-05-13 07:00:00,6.2,6.29,6.13,6.29,12123850,HSG
2020-05-14 07:00:00,6.27,6.48,6.21,6.32,10239880,HSG
2020-05-15 07:00:00,6.34,6.37,6.11,6.17,9747180,HSG
2020-05-18 07:00:00,6.27,6.59,6.2,6.59,11978360,HSG
2020-05-19 07:00:00,6.89,7.01,6.69,6.76,10099700,HSG
2020-05-20 07:00:00,6.62,6.87,6.62,6.64,10190430,HSG
2020-05-21 07:00:00,6.64,6.68,6.42,6.46,14142240,HSG
2020-05-22 07:00:00,6.44,6.8,6.34,6.76,10413910,HSG
2020-05-25 07:00:00,6.76,6.89,6.69,6.82,7146130,HSG
2020-05-26 07:00:00,6.87,6.89,6.8,6.89,10262660,HSG
2020-05-27 07:00:00,6.97,7.25,6.91,7.01,16387240,HSG
2020-05-28 07:00:00,7.18,7.25,7.04,7.08,8958130,HSG
2020-05-29 07:00:00,7.11,7.11,6.78,6.95,17506970,HSG
2020-06-01 07:00:00,6.97,7.32,6.8,7.04,17861680,HSG
2020-06-02 07:00:00,6.94,6.96,6.83,6.83,13552840,HSG
2020-06-03 07:00:00,6.84,6.96,6.71,6.93,10076640,HSG
2020-06-04 07:00:00,7.08,7.08,6.91,6.91,9239160,HSG
2020-06-05 07:00:00,6.9,7.39,6.86,7.39,16504300,HSG
2020-06-08 07:00:00,7.77,7.88,7.56,7.88,15061890,HSG
2020-06-09 07:00:00,8.16,8.29,7.81,7.88,13135230,HSG
2020-06-10 07:00:00,7.77,7.91,7.49,7.7,16386040,HSG
2020-06-11 07:00:00,7.6,7.98,7.18,7.18,21503160,HSG
2020-06-12 07:00:00,6.83,7.67,6.83,7.67,19678940,HSG
2020-06-15 07:00:00,7.88,7.98,7.35,7.42,13511690,HSG
2020-06-16 07:00:00,7.63,7.74,7.49,7.63,8016220,HSG
2020-06-17 07:00:00,7.67,8.16,7.49,8.02,16463500,HSG
2020-06-18 07:00:00,7.95,8.16,7.88,7.91,7003570,HSG
2020-06-19 07:00:00,8.02,8.33,7.91,8.29,10618110,HSG
2020-06-22 07:00:00,8.36,8.57,8.33,8.43,11271100,HSG
2020-06-23 07:00:00,8.57,8.68,8.16,8.29,12090280,HSG
2020-06-24 07:00:00,8.36,8.47,8.09,8.16,15637970,HSG
2020-06-25 07:00:00,8.16,8.71,7.95,8.57,18733030,HSG
2020-06-26 07:00:00,8.78,8.89,8.5,8.54,8277360,HSG
2020-06-29 07:00:00,8.36,8.57,8.09,8.23,12875000,HSG
2020-06-30 07:00:00,8.36,8.36,7.67,7.98,20422660,HSG
2020-07-01 07:00:00,7.95,8.36,7.88,8.36,8277790,HSG
2020-07-02 07:00:00,8.43,8.47,8.16,8.19,7648550,HSG
2020-07-03 07:00:00,8.19,8.5,8.16,8.26,9690680,HSG
2020-07-06 07:00:00,8.29,8.43,8.26,8.29,6007690,HSG
2020-07-07 07:00:00,8.36,8.5,8.23,8.23,14028220,HSG
2020-07-08 07:00:00,8.23,8.29,7.98,8.09,10434340,HSG
2020-07-09 07:00:00,8.12,8.26,8.09,8.16,5795310,HSG
2020-07-10 07:00:00,8.12,8.36,8.05,8.19,6647730,HSG
2020-07-13 07:00:00,8.29,8.36,8.19,8.26,8716400,HSG
2020-07-14 07:00:00,8.23,8.29,8.19,8.23,4285000,HSG
2020-07-15 07:00:00,8.26,8.36,8.16,8.16,5772180,HSG
2020-07-16 07:00:00,8.16,8.19,7.95,8.02,10415740,HSG
2020-07-17 07:00:00,8.02,8.23,7.98,8.05,6206290,HSG
2020-07-20 07:00:00,8.09,8.16,7.74,7.81,10655450,HSG
2020-07-21 07:00:00,7.91,7.98,7.67,7.91,7859700,HSG
