time,open,high,low,close,volume
2020-01-09 07:00:00,10.0,10.0,10.0,10.0,500
2020-01-20 07:00:00,10.0,10.0,10.0,10.0,80
2020-02-13 07:00:00,10.0,10.0,10.0,10.0,500
2020-03-05 07:00:00,11.5,11.5,11.5,11.5,400
2020-04-03 07:00:00,10.0,10.0,10.0,10.0,102
2020-04-06 07:00:00,10.0,10.0,10.0,10.0,200
2020-04-14 07:00:00,10.0,10.0,10.0,10.0,100
2020-04-16 07:00:00,10.0,10.0,10.0,10.0,4729
2020-04-21 07:00:00,11.0,11.0,11.0,11.0,200
2020-04-27 07:00:00,12.0,12.0,12.0,12.0,100
2020-04-29 07:00:00,11.0,11.0,11.0,11.0,400
2020-05-05 07:00:00,10.0,10.0,10.0,10.0,1500
2020-05-06 07:00:00,10.0,10.0,10.0,10.0,800
2020-05-08 07:00:00,11.5,11.5,11.5,11.5,200
2020-05-11 07:00:00,11.5,11.5,11.5,11.5,49
2020-05-14 07:00:00,11.5,11.5,11.5,11.5,10
2020-05-20 07:00:00,11.0,11.0,11.0,11.0,200
2020-06-05 07:00:00,11.0,11.0,11.0,11.0,10
2020-06-12 07:00:00,9.4,9.4,9.4,9.4,1040
2020-06-19 07:00:00,9.4,10.0,9.4,10.0,3448
2020-06-26 07:00:00,11.0,11.0,11.0,11.0,300
2020-07-03 07:00:00,9.4,9.4,9.4,9.4,2000
2020-07-17 07:00:00,10.8,10.8,10.8,10.8,102
2020-08-28 07:00:00,10.8,10.8,10.8,10.8,400
2020-09-04 07:00:00,10.8,10.8,10.8,10.8,901
2020-09-18 07:00:00,10.8,10.8,10.8,10.8,10
2020-10-02 07:00:00,10.8,10.8,10.8,10.8,2
2020-10-23 07:00:00,10.8,10.8,10.8,10.8,49
2020-11-06 07:00:00,12.4,12.4,12.4,12.4,2300
2020-11-27 07:00:00,12.4,12.4,12.0,12.0,8000
2020-12-11 07:00:00,10.6,10.6,10.5,10.5,8200
2020-12-18 07:00:00,9.1,9.1,9.1,9.1,600
2021-01-08 07:00:00,10.4,10.4,10.4,10.4,1920
2021-01-15 07:00:00,8.9,9.0,8.9,9.0,1200
2021-01-22 07:00:00,10.2,10.2,10.2,10.2,639
2021-01-29 07:00:00,10.3,10.3,10.2,10.2,1300
2021-02-05 07:00:00,9.9,10.2,9.9,10.2,1101
2021-02-19 07:00:00,8.9,11.1,8.9,11.1,1100
2021-02-26 07:00:00,10.7,10.7,10.7,10.7,300
2021-03-05 07:00:00,10.9,11.0,10.9,11.0,1207
2021-03-19 07:00:00,10.9,12.5,10.9,12.5,5800
2021-03-26 07:00:00,12.0,12.5,12.5,12.5,8
2021-04-02 07:00:00,10.2,11.5,10.2,10.3,6740
2021-04-09 07:00:00,10.3,11.2,10.3,11.2,815
2021-04-16 07:00:00,12.0,12.0,12.0,12.0,1518
2021-04-23 07:00:00,11.8,11.9,11.8,11.9,500
2021-05-07 07:00:00,10.2,10.2,10.2,10.2,3600
2021-05-14 07:00:00,9.0,9.0,9.0,9.0,1530
2021-05-21 07:00:00,8.2,8.2,8.0,8.0,4230
2021-05-28 07:00:00,8.3,9.3,8.3,9.3,1042
2021-06-04 07:00:00,9.3,10.0,9.3,10.0,4850
2021-06-11 07:00:00,10.3,11.3,10.3,11.3,1900
2021-06-18 07:00:00,11.3,11.5,11.3,11.3,5100
2021-06-25 07:00:00,9.7,10.0,9.7,10.0,10639
2021-07-02 07:00:00,8.5,11.0,8.5,10.1,15090
2021-07-09 07:00:00,10.1,10.2,10.0,10.0,6610
2021-07-16 07:00:00,11.0,11.0,11.0,11.0,100
2021-07-23 07:00:00,11.0,12.0,11.0,12.0,6600
2021-08-06 07:00:00,11.8,11.8,11.8,11.8,531
2021-08-13 07:00:00,13.5,13.5,13.4,13.4,1200
2021-08-20 07:00:00,13.4,13.4,13.4,13.4,2200
2021-08-27 07:00:00,13.0,13.0,12.9,12.9,1100
2021-09-10 07:00:00,13.0,13.0,13.0,13.0,46
2021-09-17 07:00:00,14.0,14.0,14.0,14.0,110
2021-09-24 07:00:00,14.0,15.0,14.0,15.0,2120
2021-10-01 07:00:00,11.9,11.9,11.9,11.9,1940
2021-10-08 07:00:00,10.3,10.3,10.3,10.3,2000
2021-10-15 07:00:00,11.7,11.8,11.7,11.8,2000
2021-10-22 07:00:00,11.8,13.5,11.8,13.5,2400
2021-10-29 07:00:00,13.3,14.0,13.3,14.0,18141
2021-11-05 07:00:00,13.5,13.5,13.5,13.5,12300
2021-11-12 07:00:00,13.5,15.0,13.5,15.0,10514
2021-11-19 07:00:00,11.9,15.0,11.9,14.0,19216
2021-11-26 07:00:00,14.2,16.1,14.2,16.1,5900
2021-12-03 07:00:00,17.0,17.0,16.8,16.8,5200
2021-12-10 07:00:00,14.3,18.1,14.3,15.6,13030
2021-12-17 07:00:00,16.7,19.3,16.5,16.5,19039
2021-12-24 07:00:00,16.9,16.9,16.8,16.8,4590
2021-12-31 07:00:00,16.5,17.2,16.5,16.5,14741
2022-01-07 07:00:00,16.5,16.5,16.2,16.2,1020
2022-01-14 07:00:00,15.5,15.5,15.5,15.5,2099
2022-01-21 07:00:00,15.5,15.5,15.5,15.5,525
2022-01-28 07:00:00,17.7,17.7,17.7,17.7,100
2022-02-11 07:00:00,15.1,15.7,15.1,15.7,900
2022-02-18 07:00:00,15.6,15.6,15.6,15.6,235
2022-02-25 07:00:00,15.9,16.0,15.9,16.0,1010
2022-03-04 07:00:00,16.7,17.0,16.7,17.0,600
2022-03-11 07:00:00,14.4,14.4,14.4,14.4,300
2022-03-25 07:00:00,15.0,16.5,15.0,16.5,1300
2022-04-01 07:00:00,14.0,14.0,14.0,14.0,2900
2022-04-08 07:00:00,11.9,11.9,11.9,11.9,2600
2022-04-15 07:00:00,11.8,11.8,11.8,11.8,710
2022-04-22 07:00:00,11.8,11.9,11.8,11.9,1200
2022-04-29 07:00:00,10.2,11.9,10.2,11.9,5100
2022-05-06 07:00:00,9.1,11.0,9.1,11.0,45600
2022-05-13 07:00:00,10.0,10.0,10.0,10.0,1300
2022-05-20 07:00:00,11.0,11.0,11.0,11.0,300
2022-05-27 07:00:00,12.6,12.6,12.6,12.6,707
2022-06-03 07:00:00,11.1,11.5,11.1,11.5,10100
2022-06-10 07:00:00,11.2,12.1,11.2,12.1,10901
2022-07-01 07:00:00,9.7,9.7,9.7,9.7,100
2022-07-08 07:00:00,11.1,11.1,11.1,11.1,102
2022-07-15 07:00:00,11.1,11.1,11.1,11.1,4
2022-07-22 07:00:00,11.1,11.1,11.1,11.1,2
2022-07-29 07:00:00,12.7,12.7,12.7,12.7,1100
2022-08-05 07:00:00,13.0,13.0,13.0,13.0,110
2022-08-19 07:00:00,13.0,13.0,13.0,13.0,100
2022-08-26 07:00:00,13.0,13.0,13.0,13.0,4814
2022-09-09 07:00:00,11.1,11.1,11.1,11.1,400
2022-09-16 07:00:00,11.1,11.1,11.1,11.1,200
2022-09-30 07:00:00,12.7,12.7,12.7,12.7,173
2022-10-07 07:00:00,12.7,12.7,12.7,12.7,101
2022-10-14 07:00:00,10.8,12.6,10.8,12.6,219
2022-10-28 07:00:00,12.9,12.9,10.5,10.5,702
2022-11-04 07:00:00,10.3,10.3,10.3,10.3,300
2022-11-18 07:00:00,10.0,10.3,10.0,10.2,3100
2022-12-02 07:00:00,10.1,10.1,10.1,10.1,1100
2022-12-09 07:00:00,10.1,10.1,10.1,10.1,29
2022-12-23 07:00:00,10.1,10.1,10.1,10.1,26
2022-12-30 07:00:00,10.1,10.1,10.1,10.1,237
2023-01-06 07:00:00,11.0,11.0,11.0,11.0,110
2023-01-27 07:00:00,11.0,11.0,11.0,11.0,1000
2023-02-10 07:00:00,10.5,10.5,10.0,10.0,2104
2023-02-17 07:00:00,10.0,10.0,10.0,10.0,117
2023-02-24 07:00:00,10.0,10.0,10.0,10.0,40
2023-03-03 07:00:00,10.0,10.0,10.0,10.0,1
2023-03-10 07:00:00,10.0,10.0,10.0,10.0,1
2023-03-17 07:00:00,10.0,10.0,10.0,10.0,100
2023-03-24 07:00:00,8.5,8.5,8.5,8.5,900
2023-03-31 07:00:00,8.5,8.5,8.5,8.5,61
2023-04-14 07:00:00,9.0,9.7,9.0,9.0,2100
2023-04-21 07:00:00,10.0,10.0,9.3,9.3,1809
2023-04-28 07:00:00,10.3,10.3,10.3,10.3,1300
2023-05-05 07:00:00,8.8,8.8,8.8,8.8,102
2023-05-12 07:00:00,8.7,8.7,8.7,8.7,300
